stage,model,sensitive_attr,group,n,base_rate_true_at_risk,accuracy,balanced_accuracy,precision_at_risk,recall_at_risk,f1_at_risk,tp,tn,fp,fn,tpr_recall_at_risk,fpr,fnr,tnr,selection_rate_pred_at_risk,roc_auc
full_100pct,LogisticRegression,imd_band,90-100%,593,0.40809443507588533,0.9291736930860034,0.9222057403875585,0.9385964912280702,0.8842975206611571,0.9106382978723404,214,337,14,28,0.8842975206611571,0.039886039886039885,0.11570247933884298,0.9601139601139601,0.3844856661045531,0.9736643827552919
full_100pct,LogisticRegression,imd_band,nan,312,0.3333333333333333,0.9166666666666666,0.9014423076923077,0.89,0.8557692307692307,0.8725490196078431,89,197,11,15,0.8557692307692307,0.052884615384615384,0.14423076923076922,0.9471153846153846,0.32051282051282054,0.9746671597633135
full_100pct,RandomForest,gender,F,3696,0.5219155844155844,0.9320887445887446,0.9336333735557979,0.9692393736017897,0.8983929497148782,0.9324724239978477,1733,1712,55,196,0.8983929497148782,0.0311262026032824,0.10160705028512182,0.9688737973967176,0.4837662337662338,0.9783881265396974
full_100pct,RandomForest,gender,M,4444,0.5303780378037803,0.9525202520252025,0.9541419405622091,0.9820305480682839,0.9274501484938481,0.953960288020947,2186,2047,40,171,0.9274501484938481,0.019166267369429803,0.07254985150615188,0.9808337326305702,0.5009000900090009,0.9878860977272279
full_100pct,RandomForest,age_band,0-35,5778,0.5449982692973347,0.9402907580477674,0.9428966744983918,0.9749322493224932,0.9139409336297237,0.9434518931322734,2878,2555,74,271,0.9139409336297237,0.02814758463294028,0.08605906637027627,0.9718524153670597,0.5109034267912772,0.9830245517393326
full_100pct,RandomForest,age_band,35-55,2302,0.4826238053866203,0.9496090356211989,0.9484296036656563,0.9797492767598843,0.9144914491449145,0.9459962756052142,1016,1170,21,95,0.9144914491449145,0.017632241813602016,0.0855085508550855,0.982367758186398,0.45047784535186797,0.9856257666068874
full_100pct,RandomForest,age_band,55<=,60,0.43333333333333335,0.9833333333333333,0.9807692307692308,1.0,0.9615384615384616,0.9803921568627451,25,34,0,1,0.9615384615384616,0.0,0.038461538461538464,1.0,0.4166666666666667,0.9785067873303167
full_100pct,RandomForest,highest_education,A Level or Equivalent,3438,0.48196625945317045,0.9403723094822571,0.939191668781685,0.9677835051546392,0.9064574532287266,0.9361171704580866,1502,1731,50,155,0.9064574532287266,0.02807411566535654,0.09354254677127338,0.9719258843346434,0.4514252472367656,0.9810481929384702
full_100pct,RandomForest,highest_education,HE Qualification,1176,0.44387755102040816,0.9600340136054422,0.9563341417976028,0.9856850715746421,0.9233716475095786,0.9535113748763601,482,647,7,40,0.9233716475095786,0.010703363914373088,0.07662835249042145,0.9892966360856269,0.41581632653061223,0.9908081127631903
full_100pct,RandomForest,highest_education,Lower Than A Level,3333,0.6006600660066007,0.9393939393939394,0.9450177921252302,0.9807692307692307,0.9170829170829171,0.9478575116159009,1836,1295,36,166,0.9170829170829171,0.027047332832456798,0.08291708291708291,0.9729526671675433,0.5616561656165616,0.9826934898309805
full_100pct,RandomForest,highest_education,No Formal quals,107,0.7476635514018691,0.9626168224299065,0.950462962962963,0.975,0.975,0.975,78,25,2,2,0.975,0.07407407407407407,0.025,0.9259259259259259,0.7476635514018691,0.9949074074074075
full_100pct,RandomForest,highest_education,Post Graduate Qualification,86,0.29069767441860467,0.9534883720930233,0.9199999999999999,1.0,0.84,0.9130434782608695,21,61,0,4,0.84,0.0,0.16,1.0,0.2441860465116279,0.9960655737704918
full_100pct,RandomForest,imd_band,0-10%,866,0.6501154734411085,0.9295612009237876,0.9397294081095499,0.9845559845559846,0.9058614564831261,0.9435707678075855,510,295,8,53,0.9058614564831261,0.026402640264026403,0.0941385435168739,0.9735973597359736,0.5981524249422633,0.9790256112645013
full_100pct,RandomForest,imd_band,10-20,856,0.6016355140186916,0.9345794392523364,0.9372092361130884,0.9655172413793104,0.9242718446601942,0.9444444444444444,476,324,17,39,0.9242718446601942,0.04985337243401759,0.07572815533980583,0.9501466275659824,0.5759345794392523,0.9829456481507844
full_100pct,RandomForest,imd_band,20-30%,918,0.5860566448801743,0.9531590413943355,0.9557865388378008,0.9787234042553191,0.9405204460966543,0.9592417061611375,506,369,11,32,0.9405204460966543,0.02894736842105263,0.05947955390334572,0.9710526315789474,0.5631808278867102,0.9880013695949912
full_100pct,RandomForest,imd_band,30-40%,920,0.5271739130434783,0.9467391304347826,0.9486550539163408,0.9844444444444445,0.9134020618556701,0.9475935828877006,443,428,7,42,0.9134020618556701,0.016091954022988506,0.0865979381443299,0.9839080459770115,0.4891304347826087,0.9837611091361536
full_100pct,RandomForest,imd_band,40-50%,832,0.5408653846153846,0.9435096153846154,0.9454043048283887,0.9718969555035128,0.9222222222222223,0.9464082098061574,415,370,12,35,0.9222222222222223,0.031413612565445025,0.07777777777777778,0.9685863874345549,0.5132211538461539,0.9846887725421757
full_100pct,RandomForest,imd_band,50-60%,741,0.5020242914979757,0.9406207827260459,0.9407618672960922,0.9739884393063584,0.9059139784946236,0.9387186629526463,337,360,9,35,0.9059139784946236,0.024390243902439025,0.09408602150537634,0.975609756097561,0.4669365721997301,0.9853935367310663
full_100pct,RandomForest,imd_band,60-70%,710,0.4887323943661972,0.9478873239436619,0.9471939727375933,0.9754601226993865,0.9164265129682997,0.9450222882615156,318,355,8,29,0.9164265129682997,0.02203856749311295,0.08357348703170028,0.977961432506887,0.4591549295774648,0.982637483030462
full_100pct,RandomForest,imd_band,70-80%,683,0.48755490483162517,0.9326500732064422,0.9316602316602316,0.9674267100977199,0.8918918918918919,0.928125,297,340,10,36,0.8918918918918919,0.02857142857142857,0.10810810810810811,0.9714285714285714,0.4494875549048316,0.9811411411411411
full_100pct,RandomForest,imd_band,80-90%,709,0.47531734837799716,0.9506346967559943,0.9490483711432309,0.9778481012658228,0.9169139465875371,0.9464012251148545,309,365,7,28,0.9169139465875371,0.01881720430107527,0.0830860534124629,0.9811827956989247,0.44569816643159377,0.9812466098720526
full_100pct,RandomForest,imd_band,90-100%,593,0.40809443507588533,0.9494097807757167,0.9412246003155094,0.9774774774774775,0.8966942148760331,0.9353448275862069,217,346,5,25,0.8966942148760331,0.014245014245014245,0.10330578512396695,0.9857549857549858,0.37436762225969644,0.9816816180452544
full_100pct,RandomForest,imd_band,nan,312,0.3333333333333333,0.9551282051282052,0.9350961538461539,0.9891304347826086,0.875,0.9285714285714286,91,207,1,13,0.875,0.004807692307692308,0.125,0.9951923076923077,0.2948717948717949,0.985992973372781
